N, avg_cmp, avg_ech
10, 23.500000, 7.510000
50, 253.790000, 62.170000
90, 550.710000, 128.930000
130, 890.950000, 200.490000
170, 1269.050000, 277.110000
210, 1634.750000, 358.500000
250, 2052.850000, 441.780000
290, 2471.200000, 525.920000
330, 2895.180000, 609.370000
370, 3304.070000, 698.800000
410, 3740.970000, 789.760000
450, 4188.190000, 880.110000
490, 4695.870000, 972.370000
530, 5100.280000, 1066.550000
570, 5590.400000, 1159.750000
610, 6054.670000, 1253.050000
650, 6534.230000, 1349.090000
690, 6961.680000, 1450.850000
730, 7442.760000, 1545.890000
770, 8008.900000, 1643.750000
810, 8438.260000, 1743.990000
850, 8950.700000, 1845.790000
890, 9476.520000, 1939.970000
930, 10035.300000, 2039.480000
970, 10444.930000, 2145.340000
1010, 10970.340000, 2248.420000
1050, 11547.920000, 2348.750000
1090, 12142.050000, 2445.420000
1130, 12546.540000, 2555.340000
1170, 13124.320000, 2656.650000
1210, 13750.260000, 2761.400000
1250, 14333.680000, 2865.000000
1290, 14753.930000, 2969.370000
1330, 15222.310000, 3079.320000
1370, 15690.670000, 3186.130000
1410, 16370.070000, 3288.360000
1450, 16804.580000, 3402.800000
1490, 17553.380000, 3498.630000
1530, 17867.430000, 3617.590000
1570, 18583.710000, 3714.680000
1610, 19080.390000, 3828.060000
1650, 19533.960000, 3941.090000
1690, 20269.190000, 4044.210000
1730, 20661.960000, 4155.740000
1770, 21397.890000, 4257.560000
1810, 21879.760000, 4373.210000
1850, 22432.210000, 4481.030000
1890, 23115.940000, 4591.250000
1930, 23363.600000, 4719.080000
1970, 24052.910000, 4819.650000
2010, 24590.910000, 4931.680000
2050, 25344.520000, 5030.750000
2090, 25952.470000, 5144.630000
2130, 26327.170000, 5261.570000
2170, 26798.760000, 5383.150000
2210, 27529.480000, 5483.800000
2250, 28424.720000, 5585.810000
2290, 28541.070000, 5715.960000
2330, 29406.510000, 5830.750000
2370, 30244.400000, 5923.610000
2410, 30481.730000, 6045.580000
2450, 31070.830000, 6167.570000
2490, 31677.180000, 6279.850000
2530, 32203.350000, 6402.790000
2570, 32618.070000, 6520.700000
2610, 33273.710000, 6629.920000
2650, 33789.980000, 6748.840000
2690, 34478.820000, 6858.440000
2730, 35095.590000, 6970.750000
2770, 36308.110000, 7074.970000
2810, 36421.600000, 7205.860000
2850, 36986.610000, 7325.230000
2890, 37986.460000, 7427.230000
2930, 38136.560000, 7549.670000
2970, 38943.900000, 7663.610000
3010, 39342.370000, 7786.410000
3050, 40047.590000, 7885.870000
3090, 40143.240000, 8035.010000
3130, 41579.280000, 8122.510000
3170, 41615.120000, 8250.580000
3210, 42561.540000, 8354.230000
3250, 43016.400000, 8482.640000
3290, 43638.170000, 8603.510000
3330, 43921.910000, 8732.010000
3370, 45046.100000, 8835.220000
3410, 45549.620000, 8959.750000
3450, 45975.720000, 9077.770000
3490, 46989.660000, 9178.140000
3530, 47416.600000, 9317.940000
3570, 47867.960000, 9443.620000
3610, 48819.450000, 9544.590000
3650, 49307.250000, 9663.260000
3690, 49634.190000, 9803.940000
3730, 50396.940000, 9911.200000
3770, 51136.380000, 10022.240000
3810, 51246.180000, 10172.930000
3850, 52471.290000, 10266.090000
3890, 53110.480000, 10374.050000
3930, 53407.670000, 10514.060000
3970, 53960.810000, 10645.050000
4010, 54505.050000, 10764.350000
4050, 55528.370000, 10872.800000
4090, 56232.740000, 10990.700000
4130, 57063.690000, 11096.990000
4170, 57193.550000, 11242.730000
4210, 58079.100000, 11349.690000
4250, 58983.390000, 11458.390000
4290, 58903.290000, 11612.040000
4330, 60204.670000, 11703.010000
4370, 60637.340000, 11831.140000
4410, 60933.780000, 11969.320000
4450, 61629.630000, 12094.120000
4490, 62443.150000, 12206.040000
4530, 62808.360000, 12327.490000
4570, 64097.200000, 12442.490000
4610, 64613.830000, 12564.180000
4650, 64651.450000, 12722.200000
4690, 65183.460000, 12824.960000
4730, 66450.430000, 12941.910000
4770, 66911.470000, 13052.760000
4810, 67210.700000, 13197.520000
4850, 68216.760000, 13304.080000
4890, 68312.540000, 13442.900000
4930, 69361.120000, 13556.000000
4970, 69991.250000, 13691.270000
